SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định,RegularPrice,price
2790962,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 ml eau de parfum spray,,Giá trị thuộc tính,có,,"27,5","700012,5"
2821700,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz / 10 mL eau de parfum spray,,KILIAN Paris,có,,"3,8",96729
1019983,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz/ 75 mL,,Dolce&Gabbana,có,,"9,1","231640,5"
1112481,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,Versace,có,,"10,5","267277,5"
1200716,Thương hiệu,Yves Saint Laurent,Kích thước,3.3 oz/ 100 mL,,Yves Saint Laurent,có,,11,280005
1200773,Thương hiệu,Rabanne,Kích thước,3.4 oz/ 100 mL,,Rabanne,có,,12,305460
1284710,Thương hiệu,CHANEL,Kích thước,1.7 oz,,CHANEL,có,,11,280005
1359306,Thương hiệu,Versace,Kích thước,6.7 oz/ 200 mL,,DIOR,có,,14,356370
1513225,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,TOM FORD,có,,"10,5","267277,5"
1695980,Thương hiệu,CHANEL,Kích thước,3.4 oz,,Montblanc,có,,"15,7","399643,5"
1703495,Thương hiệu,DIOR,Kích thước,2.5 oz/ 75 mL,,Prada,có,,11,280005
1706423,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,Armani Beauty,có,,24,610920
1739317,Thương hiệu,DIOR,Kích thước,2 oz/ 60 mL,,Valentino,có,,11,280005
1810688,Thương hiệu,Montblanc,Kích thước,1.7 oz/ 50 mL,,Carolina Herrera,có,,8,203640
1849207,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,BURBERRY,có,,"10,5","267277,5"
2038123,Thương hiệu,DIOR,Kích thước,2.0 oz/ 60 mL,,Maison Louis Marie,có,,13,330915
2065415,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,HERMÈS,có,,"19,3","491281,5"
2099729,Thương hiệu,Prada,Kích thước,3.4 oz/ 101 mL,,Jo Malone London,có,,14,356370
2099885,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,Ellis Brooklyn,có,,"15,5","394552,5"
2205466,Thương hiệu,Armani Beauty,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,Viktor&Rolf,có,,11,280005
2227908,Thương hiệu,Montblanc,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,CLEAN RESERVE,có,,"12,5","318187,5"
2267797,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,LoveShackFancy,có,,"19,3","491281,5"
2302099,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,FORVR Mood,có,,"9,7","246913,5"
2353498,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz/ 50 mL,,5 SENS,có,,"9,4",239277
2373629,Thương hiệu,Montblanc,Kích thước,3.4 oz/ 100 mL,,KAYALI,có,,12,305460
2408292,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50 mL,,Charlotte Tilbury,có,,16,407280
2467454,Thương hiệu,DIOR,Kích thước,2 oz/ 60 mL,,Maison Margiela,có,,"19,3","491281,5"
2470086,Thương hiệu,Prada,Kích thước,3.3 oz/ 100 mL,,BROWN GIRL Jane,có,,12,305460
2543734,Thương hiệu,Valentino,Kích thước,3.4 oz/ 100 mL,,Sephora Favorites,có,,"12,5","318187,5"
2545697,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz / 50 mL eau de parfum spray,,Gucci,có,,"11,1","282550,5"
2546216,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz / 100 mL,,PHLUR,có,,"12,5","318187,5"
2549947,Thương hiệu,Montblanc,Kích thước,1.7 oz/ 50 mL,,Commodity,có,,9,229095
2603363,Thương hiệu,BURBERRY,Kích thước,3.3 oz / 100mL,,DedCool,có,,"15,3","389461,5"
2639821,Thương hiệu,Valentino,Kích thước,1.7 oz / 50 mL eau de parfum spray,,Ariana Grande,có,,11,280005
2706273,Thương hiệu,Yves Saint Laurent,Kích thước,3.4 oz / 100 ml eau de parfum spray,,Glossier,có,,"15,5","394552,5"
2736536,Thương hiệu,Valentino,Kích thước,3.4 oz eau de toilette spray,,Marc Jacobs Fragrances,có,,"12,5","318187,5"
2741643,Thương hiệu,TOM FORD,Kích thước,3.4 oz / 100 ml eau de parfum spray,,Chloé,có,,24,610920
2765576,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz eau de parfum spray,,Lancôme,có,,"14,5","369097,5"
2821692,Thương hiệu,Dolce&Gabbana,Kích thước,1.6 oz / 50 mL eau de parfum spray,,NEST New York,có,,"10,2",259641
397299,Thương hiệu,Armani Beauty,Kích thước,3.3 oz / 100 ml eau de toilette spray,,Juliette Has a Gun,có,,"11,5","292732,5"
1113281,Thương hiệu,CHANEL,Kích thước,3 x 0.7 oz,,GUERLAIN,có,,14,356370
2321123,Thương hiệu,Maison Louis Marie,,,,Sol de Janeiro,có,,"2,8",71274
2412120,Thương hiệu,HERMÈS,,,,The 7 Virtues,có,,6,152730
2412120,Thương hiệu,HERMÈS,,,,By Rosie Jane,có,,6,152730
2561835,Thương hiệu,Yves Saint Laurent,,,,OUAI,có,,"3,5","89092,5"
2616555,Thương hiệu,Jo Malone London,,,,Mugler,có,,2,50910
2616555,Thương hiệu,Jo Malone London,,,,SKYLAR,có,,2,50910
2619799,Thương hiệu,Ellis Brooklyn,,,,Moroccanoil,có,,"1,47","37418,85"
2640019,Thương hiệu,Ellis Brooklyn,,,,World of Chris Collins,có,,"4,72","120147,6"
2648400,Thương hiệu,HERMÈS,,,,HERETIC,có,,6,152730
2648400,Thương hiệu,HERMÈS,,,,Nette,có,,6,152730
2650794,Thương hiệu,Viktor&Rolf,,,,Floral Street,có,,"3,9","99274,5"
2650802,Thương hiệu,Viktor&Rolf,,,,Henry Rose,có,,"15,5","394552,5"
2655603,Thương hiệu,Armani Beauty,,,,JIMMY CHOO,có,,"3,2",81456
2658128,Thương hiệu,CLEAN RESERVE,,,,Rare Beauty by Selena Gomez,có,,"1,96","49891,8"
2664746,Thương hiệu,Versace,,,,Salt & Stone,có,,"2,5","63637,5"
2693026,Thương hiệu,Ellis Brooklyn,,,,Jean Paul Gaultier,có,,"2,45","62364,75"
2701258,Thương hiệu,Valentino,,,,Gisou,có,,"3,5","89092,5"
2706877,Thương hiệu,Prada,,,,MERIT,có,,"3,9","99274,5"
2708147,Thương hiệu,LoveShackFancy,,,,Montale,có,,"1,125","28636,875"
2718781,Thương hiệu,FORVR Mood,,,,The Maker,có,,"2,4",61092
2748978,Thương hiệu,5 SENS,,,,Ralph Lauren,có,,"2,5","63637,5"
2752640,Thương hiệu,KAYALI,,,,,có,,10,254550
2758746,Thương hiệu,Viktor&Rolf,,,,,có,,5,127275
2761914,Thương hiệu,Charlotte Tilbury,,,,,có,,3,76365
2761963,Thương hiệu,Maison Margiela,,,,,có,,"3,9","99274,5"
2764975,Thương hiệu,Jo Malone London,,,,,có,,"7,7","196003,5"
2771798,Thương hiệu,BROWN GIRL Jane,,,,,có,,3,76365
2771897,Thương hiệu,Jo Malone London,,,,,có,,10,254550
2778868,Thương hiệu,Sephora Favorites,,,,,có,,"8,8",224004
2779569,Thương hiệu,Jo Malone London,,,,,có,,"11,8",300369
2781847,Thương hiệu,LoveShackFancy,,,,,có,,"1,8",45819
2786572,Thương hiệu,Dolce&Gabbana,,,,,có,,"3,5","89092,5"
2788198,Thương hiệu,Gucci,,,,,có,,"6,8",173094
2789006,Thương hiệu,KILIAN Paris,,,,,có,,"33,5","852742,5"
2790061,Thương hiệu,Carolina Herrera,,,,,có,,"3,9","99274,5"
2791499,Thương hiệu,DIOR,,,,,có,,"16,5","420007,5"
2791564,Thương hiệu,DIOR,,,,,có,,"19,4",493827
2795086,Thương hiệu,Gucci,,,,,có,,"3,5","89092,5"
2796308,Thương hiệu,KILIAN Paris,,,,,có,,"30,5","776377,5"
2796316,Thương hiệu,KILIAN Paris,,,,,có,,21,534555
2799237,Thương hiệu,5 SENS,,,,,có,,7,178185
2799955,Thương hiệu,Ellis Brooklyn,,,,,có,,"5,625","143184,375"
2800076,Thương hiệu,Prada,,,,,có,,18,458190
2800175,Thương hiệu,Sephora Favorites,,,,,có,,"9,5","241822,5"
2801090,Thương hiệu,PHLUR,,,,,có,,"10,9","277459,5"
2801447,Thương hiệu,Commodity,,,,,có,,"4,5","114547,5"
2804961,Thương hiệu,Armani Beauty,,,,,có,,"9,5","241822,5"
2804979,Thương hiệu,Armani Beauty,,,,,có,,"8,2",208731
2805091,Thương hiệu,Sephora Favorites,,,,,có,,"9,5","241822,5"
2806180,Thương hiệu,Carolina Herrera,,,,,có,,"15,5","394552,5"
2808491,Thương hiệu,KAYALI,,,,,có,,10,254550
2808517,Thương hiệu,KAYALI,,,,,có,,"2,8",71274
2808558,Thương hiệu,Charlotte Tilbury,,,,,có,,15,381825
2809283,Thương hiệu,DedCool,,,,,có,,"3,75","95456,25"
2809853,Thương hiệu,Maison Louis Marie,,,,,có,,"2,5","63637,5"
2809986,Thương hiệu,Gucci,,,,,có,,"7,63","194221,65"
2810000,Thương hiệu,BURBERRY,,,,,có,,"10,9","277459,5"
2810026,Thương hiệu,BURBERRY,,,,,có,,"10,9","277459,5"
2810034,Thương hiệu,Gucci,,,,,có,,5,127275
2810133,Thương hiệu,Carolina Herrera,,,,,có,,"9,2",234186
2811743,Thương hiệu,HERMÈS,,,,,có,,"14,1","358915,5"
2811768,Thương hiệu,FORVR Mood,,,,,có,,"9,8",249459
2813780,Thương hiệu,Ariana Grande,,,,,có,,"2,8",71274
2814747,Thương hiệu,Glossier,,,,,có,,8,203640
2795292,Thương hiệu,Marc Jacobs Fragrances,,,,,có,,3,76365
1001098,Thương hiệu,CHANEL,Kích thước,3.4 oz,,,có,,"14,5","369097,5"
1007723,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,,có,,16,407280
1029958,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz / 100 ml eau de toilette spray,,,có,,"13,7","348733,5"
1063619,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,,có,,11,280005
1237379,Thương hiệu,CHANEL,Kích thước,1.7 oz,,,có,,"11,3","287641,5"
1251164,Thương hiệu,Chloé,Kích thước,1 oz/ 30 mL,,,có,,"10,5","267277,5"
1284249,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,,có,,"9,9","252004,5"
1317635,Thương hiệu,Marc Jacobs Fragrances,Kích thước,4.25 oz/ 125 mL,,,có,,"15,3","389461,5"
1361930,Thương hiệu,Prada,Kích thước,1.7 oz/ 50 mL,,,có,,"12,5","318187,5"
1377159,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz/ 100 mL,,,có,,18,458190
1400001,Thương hiệu,CHANEL,Kích thước,0.7 oz eau de toilette,,,có,,12,305460
1406586,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL eau de toilette spray,,,có,,11,280005
1449115,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1449149,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1449214,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1449289,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1459999,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,,có,,12,305460
1565902,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1585009,Thương hiệu,NEST New York,Kích thước,1.7 oz/ 50 mL,,,có,,"9,2",234186
1593144,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL eau de toilette spray,,,có,,"16,5","420007,5"
1601301,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz / 75 mL eau de parfum spray,,,có,,14,356370
1602259,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 ml eau de toilette spray,,,có,,"16,5","420007,5"
1605385,Thương hiệu,Versace,Kích thước,3 oz/ 90 mL,,,có,,13,330915
1632777,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,16,407280
1688852,Thương hiệu,Yves Saint Laurent,Kích thước,3 oz/ 90 mL,,,có,,16,407280
1696921,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,,có,,13,330915
1698299,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,,có,,"3,5","89092,5"
1703321,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,,có,,15,381825
1712918,Thương hiệu,Versace,Kích thước,0.34 oz/ 10 mL,,,có,,"3,3","84001,5"
1731918,Thương hiệu,Gucci,Kích thước,1 oz,,,có,,"9,3","236731,5"
1788058,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
1808088,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
1837624,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,,"13,8",351279
1838010,Thương hiệu,BURBERRY,Kích thước,3 oz/ 89 mL,,,có,,18,458190
1838861,Thương hiệu,Yves Saint Laurent,Kích thước,1.6 oz/ 47 mL,,,có,,12,305460
1856491,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL Eau de Parfum Spray,,,có,,15,381825
1873397,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"5,5","140002,5"
1873405,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,11,280005
1912591,Thương hiệu,DIOR,Kích thước,3.4 oz/ 100 mL,,,có,,"14,5","369097,5"
1915487,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"5,5","140002,5"
1915537,Thương hiệu,GUERLAIN,Kích thước,3.3 oz/ 100 mL,,,có,,16,407280
1928548,Thương hiệu,Yves Saint Laurent,Kích thước,0.34 oz/ 10 mL,,,có,,"3,5","89092,5"
1930759,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz/ 240 mL,,,có,,"3,8",96729
1942812,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz/ 100 mL,,,có,,"14,5","369097,5"
1964840,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,,"13,5","343642,5"
1976075,Thương hiệu,BURBERRY,Kích thước,3.0 oz/ 90 mL eau de parfum spray,,,có,,"16,8",427644
1976554,Thương hiệu,HERMÈS,Kích thước,2.8 oz/ 83 mL,,,có,,"15,5","394552,5"
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,,"1,6",40728
1985779,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz/ 10 mL,,,có,,"1,6",40728
1992627,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2036788,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz/ 10 mL,,,có,,"2,24","57019,2"
2037471,Thương hiệu,Chloé,Kích thước,2.5 oz/ 75 mL,,,có,,"16,2",412371
2037935,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,,có,,13,330915
2038917,Thương hiệu,TOM FORD,Kích thước,0.33 oz/10 mL,,,có,,5,127275
2038933,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,16,407280
2040475,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,,có,,"14,2",361461
2047801,Thương hiệu,The 7 Virtues,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"9,4",239277
2052546,Thương hiệu,Versace,Kích thước,1.7 oz/ 50 mL,,,có,,"10,5","267277,5"
2056208,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,"40,5","1030927,5"
2077980,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz/ 50 mL,,,có,,"9,3","236731,5"
2098044,Thương hiệu,DIOR,Kích thước,.7 oz / 20 mL eau de toilette rollerball,,,có,,"4,6",117093
2101293,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,,có,,"40,5","1030927,5"
2101368,Thương hiệu,TOM FORD,Kích thước,0.3 oz/ 10 mL,,,có,,"7,5","190912,5"
2160455,Thương hiệu,BURBERRY,Kích thước,1.6 oz/ 50 mL eau de parfum spray,,,có,,"13,5","343642,5"
2175727,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,,có,,"8,5","216367,5"
2175982,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz / 100 mL,,,có,,15,381825
2176071,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,,có,,"13,7","348733,5"
2176196,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,,có,,"13,5","343642,5"
2176584,Thương hiệu,Ellis Brooklyn,Kích thước,0.33oz/10mL,,,có,,"1,65","42000,75"
2176626,Thương hiệu,Ellis Brooklyn,Kích thước,1.7oz/50mL,,,có,,"5,5","140002,5"
2177996,Thương hiệu,Maison Margiela,Kích thước,3.4oz/ 100mL,,,có,,"16,5","420007,5"
2196996,Thương hiệu,CLEAN RESERVE,Kích thước,1oz/30mL,,,có,,"3,08","78401,4"
2197143,Thương hiệu,CLEAN RESERVE,Kích thước,2 oz / 60 mL,,,có,,"5,18","131856,9"
2202380,Thương hiệu,Jo Malone London,Kích thước,2 x 0.3oz/9mL,,,có,,5,127275
2236214,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL Eau De Parfum Spray,,,có,,8,203640
2236222,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL,,,có,,8,203640
2236255,Thương hiệu,By Rosie Jane,Kích thước,1.7 / 50,,,có,,8,203640
2238145,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,,"17,2",437826
2249621,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,,có,,"11,8",300369
2251205,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
2288025,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz Eau de Parfum Spray,,,có,,"16,5","420007,5"
2316032,Thương hiệu,Yves Saint Laurent,Kích thước,3.04 oz/ 90 mL,,,có,,"14,5","369097,5"
