SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định,RegularPrice,price
2729713,Thương hiệu,TOM FORD,Kích thước,1.7 oz eau de parfum,,,có,,"40,5","1030927,5"
2729879,Thương hiệu,Viktor&Rolf,Kích thước,0.34 oz eau de parfum spray,,,có,,"3,8",96729
2732691,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz eau de parfum,,,có,,"3,5","89092,5"
2734044,Thương hiệu,Rare Beauty by Selena Gomez,Kích thước,3.3 oz / 100 mL,,,có,,"2,8",71274
2734085,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz,,,có,,"2,5","63637,5"
2734093,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz,,,có,,"3,8",96729
2736189,Thương hiệu,Nette,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,12,305460
2736494,Thương hiệu,Valentino,Kích thước,1 oz eau de parfum spray,,,có,,"9,2",234186
2736502,Thương hiệu,Valentino,Kích thước,0.33 oz eau de parfum spray,,,có,,"3,5","89092,5"
2737690,Thương hiệu,Glossier,Kích thước,3.4 OZ / 100 ML EAU DE PARFUM SPRAY,,,có,,"11,2",285096
2740959,Thương hiệu,Jo Malone London,Kích thước,3.3 oz / 100 mL spray,,,có,,"16,5","420007,5"
2741668,Thương hiệu,5 SENS,Kích thước,1 oz / 30 ml eau de parfum spray,,,có,,"6,5","165457,5"
2747194,Thương hiệu,DIOR,Kích thước,1.2 oz parfum spray,,,có,,"11,5","292732,5"
2747384,Thương hiệu,Carolina Herrera,Kích thước,1.7 oz / 50 mL elixir spray,,,có,,14,356370
2747442,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz / 50 ml eau de toilette spray,,,có,,"3,5","89092,5"
2748523,Thương hiệu,TOM FORD,Kích thước,1.7 oz / 50 mL perfume spray,,,có,,"40,5","1030927,5"
2748929,Thương hiệu,Carolina Herrera,Kích thước,3.4 oz/ 100 ml spray,,,có,,"4,5","114547,5"
2751865,Thương hiệu,Mugler,Kích thước,0.34 oz / 10 mL eau de parfum spray,,,có,,"3,5","89092,5"
2752665,Thương hiệu,KAYALI,Kích thước,0.34 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2752665,Thương hiệu,KAYALI,Kích thước,0.34 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2753879,Thương hiệu,Armani Beauty,Kích thước,3.4 oz eau de parfum spray,,,có,,"12,5","318187,5"
2758928,Thương hiệu,Jo Malone London,Kích thước,0.34 oz / 10 mL cologne spray,,,có,,"3,2",81456
2758928,Thương hiệu,Jo Malone London,Kích thước,0.34 oz / 10 mL cologne spray,,,có,,"3,2",81456
2759918,Thương hiệu,Dolce&Gabbana,Kích thước,1.6 oz,,,có,,"7,9","201094,5"
2760148,Thương hiệu,Salt & Stone,Kích thước,3.4 oz / 100 mL,,,có,,"4,5","114547,5"
2761609,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,11,280005
2761815,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761831,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761856,Thương hiệu,Charlotte Tilbury,Kích thước,3.4 oz eau de parfum spray,,,có,,15,381825
2761864,Thương hiệu,Charlotte Tilbury,Kích thước,3.4 oz eau de parfum spray,,,có,,15,381825
2761872,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761880,Thương hiệu,Charlotte Tilbury,Kích thước,3.4 oz eau de parfum spray,,,có,,15,381825
2761898,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761906,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761906,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761922,Thương hiệu,Charlotte Tilbury,Kích thước,0.34 oz eau de parfum spray,,,có,,"2,5","63637,5"
2761930,Thương hiệu,Charlotte Tilbury,Kích thước,3.4 oz eau de parfum spray,,,có,,15,381825
2762433,Thương hiệu,PHLUR,Kích thước,3 oz,,,có,,"2,4",61092
2762458,Thương hiệu,PHLUR,Kích thước,3 oz,,,có,,"2,4",61092
2764173,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"29,5","750922,5"
2765303,Thương hiệu,PHLUR,Kích thước,0.32 oz / 9.5 ml eau de parfum spray,,,có,,"2,9","73819,5"
2765311,Thương hiệu,PHLUR,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"9,9","252004,5"
2766517,Thương hiệu,Maison Louis Marie,Kích thước,0.5 oz eau de parfum oil,,,có,,"5,2",132366
2766525,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,"9,3","236731,5"
2766533,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz eau de parfum oil,,,có,,"1,3","33091,5"
2769370,Thương hiệu,NEST New York,Kích thước,4.2 oz spray,,,có,,"3,9","99274,5"
2770485,Thương hiệu,OUAI,Kích thước,3.3 oz,,,có,,"2,8",71274
2771533,Thương hiệu,Glossier,Kích thước,0.27 oz/ 8 mL eau de parfum spray,,,có,,"3,2",81456
2771715,Thương hiệu,BROWN GIRL Jane,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"10,2",259641
2771772,Thương hiệu,BROWN GIRL Jane,Kích thước,1.7 oz eau de parfum spray,,,có,,"10,2",259641
2771780,Thương hiệu,BROWN GIRL Jane,Kích thước,0.34 oz eau de parfum spray,,,có,,3,76365
2774768,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz,,,có,,"2,5","63637,5"
2774776,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz,,,có,,"2,5","63637,5"
2774792,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz,,,có,,"2,5","63637,5"
2778371,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz / 75 mL eau de toilette spray,,,có,,"12,6",320733
2778603,Thương hiệu,Jean Paul Gaultier,Kích thước,0.5 oz / 15 mL eau de parfum spray,,,có,,"3,7","94183,5"
2787604,Thương hiệu,BURBERRY,Kích thước,3.3 oz / 100 ml eau de parfum,,,có,,"17,3","440371,5"
2788149,Thương hiệu,Gucci,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,,"16,8",427644
2788164,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"3,9","99274,5"
2788727,Thương hiệu,DedCool,Kích thước,32 oz/ 947 ml,,,có,,"3,5","89092,5"
2788735,Thương hiệu,DedCool,Kích thước,2 oz/ 60 mL,,,có,,"1,4",35637
2788743,Thương hiệu,DedCool,Kích thước,2 oz/ 60 mL,,,có,,"1,4",35637
2790095,Thương hiệu,KAYALI,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"3,2",81456
2790103,Thương hiệu,KAYALI,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"3,2",81456
2790111,Thương hiệu,KAYALI,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"3,2",81456
2791382,Thương hiệu,CHANEL,Kích thước,3.4 oz / 100ml eau de toilette spray,,,có,,"17,2",437826
2791432,Thương hiệu,PHLUR,Kích thước,8 oz spray,,,có,,"3,8",96729
2791457,Thương hiệu,PHLUR,Kích thước,8 oz spray,,,có,,"3,8",96729
2791598,Thương hiệu,DIOR,Kích thước,0.7 oz / 20 ml eau de parfum rollerball,,,có,,"6,2",157821
2791606,Thương hiệu,The 7 Virtues,Kích thước,1.7 oz / 50ml eau de parfum spray,,,có,,"9,4",239277
2791614,Thương hiệu,The 7 Virtues,Kích thước,0.34 oz / 10ml eau de parfum spray,,,có,,"3,2",81456
2791663,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz / 50 ml spray,,,có,,"3,5","89092,5"
2794527,Thương hiệu,JIMMY CHOO,Kích thước,0.34 oz / 10 ml parfum spray,,,có,,"3,8",96729
2796514,Thương hiệu,Sol de Janeiro,Kích thước,3 oz / 90 ml,,,có,,"2,5","63637,5"
2796597,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz / 240 ml,,,có,,"3,8",96729
2799153,Thương hiệu,Ellis Brooklyn,Kích thước,3.4 oz / 100 ml spray,,,có,,"4,8",122184
2799286,Thương hiệu,Prada,Kích thước,3 oz / 90 ml eau de parfum spray,,,có,,"16,5","420007,5"
2799310,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 ml eau de toilette spray,,,có,,"16,5","420007,5"
2799898,Thương hiệu,Yves Saint Laurent,Kích thước,3 oz/ 90 ml eau de parfum spray,,,có,,"16,5","420007,5"
2800050,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,,"16,5","420007,5"
2800142,Thương hiệu,HERMÈS,Kích thước,0.5 oz / 15 ml parfum spray,,,có,,"4,5","114547,5"
2800142,Thương hiệu,HERMÈS,Kích thước,0.5 oz / 15 ml parfum spray,,,có,,"4,5","114547,5"
2800209,Thương hiệu,NEST New York,Kích thước,0.27 oz eau de parfum spray,,,có,,"3,2",81456
2800217,Thương hiệu,NEST New York,Kích thước,1.7 oz eau de parfum spray,,,có,,"9,2",234186
2800415,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,,"17,5","445462,5"
2801561,Thương hiệu,Yves Saint Laurent,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"3,5","89092,5"
2804516,Thương hiệu,Rabanne,Kích thước,3 oz / 90 ml eau de parfum spray,,,có,,"16,5","420007,5"
2804722,Thương hiệu,LoveShackFancy,Kích thước,,,,có,,"2,6",66183
2804730,Thương hiệu,LoveShackFancy,Kích thước,3 oz / 90 mL,,,có,,"2,6",66183
2804748,Thương hiệu,LoveShackFancy,Kích thước,3 oz / 90 mL,,,có,,"2,6",66183
2804763,Thương hiệu,LoveShackFancy,Kích thước,8 oz / 240 ml Body Spray,,,có,,"4,2",106911
2804771,Thương hiệu,LoveShackFancy,Kích thước,8 oz / 240 ml Body Spray,,,có,,"4,2",106911
2804821,Thương hiệu,KAYALI,Kích thước,3.4 fl oz / 100 mL eau de parfum spray,,,có,,"13,8",351279
2806172,Thương hiệu,Carolina Herrera,Kích thước,0.24 oz / 7 mL elixir spray,,,có,,2,50910
2806743,Thương hiệu,Gisou,Kích thước,1.7 oz / 50 ml,,,có,,"4,4",112002
2807139,Thương hiệu,MERIT,Kích thước,1 oz / 30 mL parfum spray,,,có,,"9,2",234186
2808590,Thương hiệu,Jean Paul Gaultier,Kích thước,1.7 oz / 50 ml parfum spray,,,có,,"14,3","364006,5"
2809374,Thương hiệu,Ariana Grande,Kích thước,0.33 oz/ 10 ml eau de parfum spray,,,có,,"2,8",71274
2809382,Thương hiệu,Ariana Grande,Kích thước,0.33 oz/ 10 ml eau de parfum spray,,,có,,"2,8",71274
2809382,Thương hiệu,Ariana Grande,Kích thước,0.33 oz/ 10 ml eau de parfum spray,,,có,,"2,8",71274
2809457,Thương hiệu,Ariana Grande,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,,có,,7,178185
2809465,Thương hiệu,Ariana Grande,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,,có,,7,178185
2809499,Thương hiệu,Ariana Grande,Kích thước,3.4 oz/ 100 ml eau de parfum spray,,,có,,7,178185
2809788,Thương hiệu,Ariana Grande,Kích thước,4.2 oz / 125 ml eau de parfum,,,có,,8,203640
2818623,Thương hiệu,Gisou,Kích thước,1.7oz / 50 ml,,,có,,"4,4",112002
2818912,Thương hiệu,Prada,Kích thước,3.4 oz / 100 ml eau de parfum spray,,,có,,18,458190
2819043,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz / 10 mL eau de parfum spray,,,có,,"3,2",81456
2819050,Thương hiệu,CLEAN RESERVE,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,,11,280005
2819274,Thương hiệu,Glossier,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"7,8",198549
2819282,Thương hiệu,Glossier,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"7,8",198549
2821726,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz / 10 mL eau de toilette spray,,,có,,"3,1","78910,5"
2822005,Thương hiệu,Montale,Kích thước,3.4 oz / 100 ml eau de parfum spray,,,có,,18,458190
2822039,Thương hiệu,Montale,Kích thước,3.4 oz / 100 ml eau de parfum spray,,,có,,18,458190
2822500,Thương hiệu,Dolce&Gabbana,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,,"14,8",376734
2822559,Thương hiệu,PHLUR,Kích thước,0.32 oz / 9.5 mL eau de parfum spray,,,có,,"2,9","73819,5"
2824027,Thương hiệu,DedCool,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,9,229095
2827509,Thương hiệu,By Rosie Jane,Kích thước,0.30 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2827517,Thương hiệu,By Rosie Jane,Kích thước,0.30 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2827541,Thương hiệu,By Rosie Jane,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2827558,Thương hiệu,By Rosie Jane,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2827566,Thương hiệu,By Rosie Jane,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"2,9","73819,5"
2831089,Thương hiệu,Jo Malone London,Kích thước,0.33 oz / 10 ml spray,,,có,,"3,2",81456
2832962,Thương hiệu,The Maker,Kích thước,1.7 oz / 50 ml eau de parfum spray,,,có,,"17,5","445462,5"
2832970,Thương hiệu,The Maker,Kích thước,0.33 oz / 10 ml eau de parfum spray,,,có,,"4,2",106911
2834414,Thương hiệu,Carolina Herrera,Kích thước,0.30 oz / 10 ml eau de parfum spray,,,có,,"3,4",86547
388512,Thương hiệu,CHANEL,Kích thước,1.7 oz,,,có,,"13,8",351279
420588,Thương hiệu,DIOR,Kích thước,3.4 oz/ 100 mL,,,có,,"17,2",437826
513176,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,,"17,2",437826
812388,Thương hiệu,Ralph Lauren,Kích thước,1 oz,,,có,,"6,8",173094
831248,Thương hiệu,HERMÈS,Kích thước,1.6 oz/ 47 mL,,,có,,"11,6",295278
934844,Thương hiệu,HERMÈS,Kích thước,1.6 oz Elixir des Merveilles Eau de Parfum Spray,,,có,,"13,9","353824,5"
981530,Thương hiệu,Dolce&Gabbana,Kích thước,2.5 oz/ 75 mL,,,có,,"14,6",371643
2249688,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL eau de parfum spray,,,có,,"13,5","343642,5"
2371896,Thương hiệu,Yves Saint Laurent,Kích thước,3oz/ 90 mL,,,có,,17,432735
2649770,Thương hiệu,Glossier,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,"7,8",198549
1649607,Thương hiệu,Versace,Kích thước,0.3 oz/ 10 mL,,,có,,"3,2",81456
1985118,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz/ 90 mL,,Thuộc tính mặc định,có,,"2,5","63637,5"
2205417,Thương hiệu,Sol de Janeiro,,,,,có,,"3,2",81456
2619294,Thương hiệu,Sol de Janeiro,Kích thước,0.27 oz / 8 mL Eau De Parfum Spray,,,có,,"2,6",66183
2652089,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz / 90 mL,,,có,,"2,5","63637,5"
2678001,Thương hiệu,Jo Malone London,Kích thước,3.4 oz / 100 mL cologne spray,,,có,,"16,5","420007,5"
2678035,Thương hiệu,Jo Malone London,Kích thước,1 oz / 30ml cologne spray,,,có,,"8,6",218913
2692846,Thương hiệu,KAYALI,Kích thước,0.34 oz eau de parfum spray,,,có,,"3,8",96729
2693851,Thương hiệu,NEST New York,,,,,có,,"4,6",117093
2697035,Thương hiệu,KAYALI,Kích thước,1.7 oz eau de parfum spray,,,có,,14,356370
2697050,Thương hiệu,KAYALI,Kích thước,0.34 oz eau de parfum spray,,,có,,"3,8",96729
2734051,Thương hiệu,Rare Beauty by Selena Gomez,Kích thước,0.16 oz / 5 mL,,,có,,2,50910
2734069,Thương hiệu,Sol de Janeiro,Kích thước,2.5 oz / 75 mL,,,có,,"2,4",61092
2742112,Thương hiệu,Sol de Janeiro,,,,,có,,"3,2",81456
2748812,Thương hiệu,Sephora Favorites,,,,,có,,3,76365
2778397,Thương hiệu,Dolce&Gabbana,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,,"16,2",412371
2791440,Thương hiệu,PHLUR,Kích thước,3 oz spray,,,có,,"2,4",61092
2791465,Thương hiệu,PHLUR,Kích thước,3 oz spray,,,có,,"2,4",61092
2791648,Thương hiệu,World of Chris Collins,,,,,có,,"2,5","63637,5"
2798973,Thương hiệu,TOM FORD,Kích thước,3.4 oz / 100 mL eau de toilette spray,,,có,,20,509100
2798981,Thương hiệu,TOM FORD,Kích thước,0.34 oz / 10 mL eau de toilette spray,,,có,,"4,5","114547,5"
2799013,Thương hiệu,TOM FORD,Kích thước,1 oz / 30 ml eau de parfum spray,,,có,,"25,5","649102,5"
2807477,Thương hiệu,Jo Malone London,Kích thước,3.4 oz / 100 ml cologne spray,,,có,,"16,5","420007,5"
2812618,Thương hiệu,Rare Beauty by Selena Gomez,,,,,có,,3,76365
2821734,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,,"3,5","89092,5"
2822476,Thương hiệu,Jean Paul Gaultier,Kích thước,2.5 oz / 75 mL eau de toilette spray,,,có,,"9,9","252004,5"
2825032,Thương hiệu,BURBERRY,Kích thước,1 oz / 30 ml eau de parfum spray,,,có,,"10,8",274914